Srno,TranslatedRecipeName,Cuisine,Course,Diet,Average_Resell_Price
1,Masala Karela Recipe,Indian,Side Dish,Diabetic Friendly,23
2,Spicy Tomato Rice (Recipe),South Indian Recipes,Main Course,Vegetarian,100
3,Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,South Indian Recipes,South Indian Breakfast,High Protein Vegetarian,44
4,Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,Andhra,Lunch,Non Vegeterian,87
5,Andhra Style Alam Pachadi Recipe - Adrak Chutney (Recipe),Andhra,South Indian Breakfast,Vegetarian,40
6,Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),South Indian Recipes,South Indian Breakfast,High Protein Vegetarian,44
7,Udupi Style Ash Gourd Coconut Curry Recipe,Udupi,Lunch,Vegetarian,70
8,Mexican Style Black Bean Burrito Recipe,Mexican,Lunch,Vegetarian,70
9,Spicy Crunchy Masala Idli Recipe,South Indian Recipes,Snack,Vegetarian,30
10,Cauliflower Leaves Chutney (Recipe in Hindi),South Indian Recipes,Side Dish,Vegetarian,20
11,Homemade Baked Beans Recipe (Wholesome & Healthy),Fusion,High Protein Vegetarian,Vegetarian,50
12,Veg Chili Cheese Burgers Recipe,Continental,Main Course,Vegetarian,100
13,Andhra Steel Ingavu Charu Recipe - Asfoitida Flavored Tamarand Rasam,Andhra,Lunch,Vegetarian,70
14,And fish soup recipe - Bengali style fish in tomato gravy,Bengali Recipes,Dinner,High Protein Non Vegetarian,202
15,Saunf Aloo (Fennel Potato Curry) Recipe,Punjabi,Lunch,Vegetarian,70
16,South Indian Onion Chutney Recipe - South Indian Onion Chutney (Recipe),South Indian Recipes,Side Dish,Vegetarian,20
17,Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Indian,Lunch,Eggetarian,80
18,Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,Indian,Side Dish,Vegetarian,20
19,Homemade Tater Tots Recipe,Continental,Appetizer,Vegetarian,50
20,Chettinad Vegetable Casserole Recipe - Chettinad Vegetable Pulao Recipe,Chettinad,Dinner,Vegetarian,150
21,Garlic Amla Chutney Recipe - Lehsun Amla Chutney Recipe,Tamil Nadu,Side Dish,Vegetarian,20
22,Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,Maharashtrian Recipes,Indian Breakfast,Diabetic Friendly,28
23,Homemade Healthy Subway Sandwich Recipe With Beet & Sprout,Fusion,Dinner,High Protein Vegetarian,165
24,South Indian Style Murungakkai Poriyal Recipe - Drumstick Stir Fry,South Indian Recipes,Side Dish,Vegetarian,20
26,Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,Indian,Snack,Vegetarian,30
27,Chettinad Sweet Paniyaram Recipe - Chettinad Sweet Paniyaram Recipe,Chettinad,Snack,Vegetarian,30
29,Mini Dal Samosa Curry / Sabzi Recipe,North Indian Recipes,Lunch,Vegetarian,70
31,Spinach Garlic Bruschetta Recipe With Red Bell Pepper Sauce,Italian Recipes,Appetizer,Vegetarian,50
32,Mini Dal Mature Chat Recipe - That Perfect Party Snack,Sindhi,Appetizer,Vegetarian,50
